,original_title,popularity,vote_average,primary_title,runtime_minutes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit
0,How to Train Your Dragon,28.734,7.7,How to Train Your Dragon,98.0,30,"Mar 26, 2010",How to Train Your Dragon,165000000.0,"$217,581,232",494870992.0,329870992.0
1,Iron Man 2,28.515,6.8,Iron Man 2,124.0,15,"May 7, 2010",Iron Man 2,170000000.0,"$312,433,331",621156389.0,451156389.0
2,Inception,27.92,8.3,Inception,148.0,38,"Jul 16, 2010",Inception,160000000.0,"$292,576,195",835524642.0,675524642.0
3,Percy Jackson & the Olympians: The Lightning Thief,26.691,6.1,Percy Jackson & the Olympians: The Lightning Thief,118.0,17,"Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief,95000000.0,"$88,768,303",223050874.0,128050874.0
4,Avatar,26.526,7.4,Avatar,93.0,1,"Dec 18, 2009",Avatar,425000000.0,"$760,507,625",2776345279.0,2351345279.0
5,Toy Story 3,24.445,7.7,Toy Story 3,103.0,47,"Jun 18, 2010",Toy Story 3,200000000.0,"$415,004,880",1068879522.0,868879522.0
6,Despicable Me,23.673000000000002,7.2,Despicable Me,95.0,50,"Jul 9, 2010",Despicable Me,69000000.0,"$251,513,985",543464573.0,474464573.0
7,Megamind,22.855,6.8,Megamind,95.0,47,"Nov 5, 2010",Megamind,130000000.0,"$148,415,853",321887208.0,191887208.0
8,The Expendables,21.517,6.1,The Expendables,103.0,34,"Aug 13, 2010",The Expendables,82000000.0,"$103,068,524",268268174.0,186268174.0
9,Tangled,21.511,7.5,Tangled,100.0,15,"Nov 24, 2010",Tangled,260000000.0,"$200,821,936",586477240.0,326477240.0
10,The Twilight Saga: Eclipse,20.34,6.0,The Twilight Saga: Eclipse,124.0,53,"Jun 30, 2010",The Twilight Saga: Eclipse,68000000.0,"$300,531,751",706102828.0,638102828.0
11,The Book of Eli,18.985,6.7,The Book of Eli,118.0,64,"Jan 15, 2010",The Book of Eli,80000000.0,"$94,835,059",158750817.0,78750817.0
12,Shutter Island,18.06,8.1,Shutter Island,138.0,52,"Feb 19, 2010",Shutter Island,80000000.0,"$128,012,934",299461782.0,219461782.0
13,Knight and Day,17.713,6.0,Knight and Day,109.0,2,"Jun 23, 2010",Knight and Day,117000000.0,"$76,423,035",258751370.0,141751370.0
14,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,6.3,The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,48,"Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,"$104,386,950",418186950.0,263186950.0
15,Step Up 3D,17.174,6.7,Step Up 3D,107.0,9,"Aug 6, 2010",Step Up 3D,30000000.0,"$42,400,223",165889117.0,135889117.0
16,The A-Team,17.097,6.3,The A-Team,117.0,32,"Jun 11, 2010",The A-Team,110000000.0,"$77,222,099",177241171.0,67241171.0
17,The Last Airbender,16.595,4.6,The Last Airbender,103.0,83,"Jul 1, 2010",The Last Airbender,150000000.0,"$131,772,187",319713881.0,169713881.0
18,Predators,16.215999999999998,6.1,Predators,107.0,35,"Jul 9, 2010",Predators,40000000.0,"$52,000,688",127234389.0,87234389.0
19,The Social Network,15.889000000000001,7.2,The Social Network,120.0,91,"Oct 1, 2010",The Social Network,40000000.0,"$96,962,694",224922135.0,184922135.0
20,Shrek Forever After,15.040999999999999,6.1,Shrek Forever After,93.0,27,"May 21, 2010",Shrek Forever After,165000000.0,"$238,736,787",756244673.0,591244673.0
21,Easy A,14.69,6.8,Easy A,92.0,67,"Sep 17, 2010",Easy A,8000000.0,"$58,401,464",76200721.0,68200721.0
22,The Sorcerer's Apprentice,14.463,5.9,The Sorcerer's Apprentice,109.0,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000.0,"$63,150,991",217986320.0,57986320.0
23,Grown Ups,14.290999999999999,6.1,Grown Ups,102.0,34,"Jun 25, 2010",Grown Ups,75000000.0,"$162,001,186",272223430.0,197223430.0
