,primary_title,runtime_minutes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit
0,Foodfight!,91.0,26,"Dec 31, 2012",Foodfight!,45000000.0,$0,73706.0,-44926294.0
1,The Secret Life of Walter Mitty,114.0,37,"Dec 25, 2013",The Secret Life of Walter Mitty,91000000.0,"$58,236,838",187861183.0,96861183.0
2,A Walk Among the Tombstones,114.0,67,"Sep 19, 2014",A Walk Among the Tombstones,28000000.0,"$26,017,685",62108587.0,34108587.0
3,Jurassic World,124.0,34,"Jun 12, 2015",Jurassic World,215000000.0,"$652,270,625",1648854864.0,1433854864.0
4,The Rum Diary,119.0,16,"Oct 28, 2011",The Rum Diary,45000000.0,"$13,109,815",21544732.0,-23455268.0
5,The Three Stooges,92.0,4,"Apr 13, 2012",The Three Stooges,30000000.0,"$44,338,224",54052249.0,24052249.0
6,Anderson's Cross,98.0,65,"Dec 31, 2010",Anderson's Cross,300000.0,$0,0.0,-300000.0
7,Tangled,100.0,15,"Nov 24, 2010",Tangled,260000000.0,"$200,821,936",586477240.0,326477240.0
8,John Carter,132.0,14,"Mar 9, 2012",John Carter,275000000.0,"$73,058,679",282778100.0,7778100.0
9,Action Jackson,144.0,8,"Feb 12, 1988",Action Jackson,7000000.0,"$20,257,000",20257000.0,13257000.0
10,Dinner for Schmucks,114.0,51,"Jul 30, 2010",Dinner for Schmucks,69000000.0,"$73,026,337",86796502.0,17796502.0
11,The A-Team,117.0,32,"Jun 11, 2010",The A-Team,110000000.0,"$77,222,099",177241171.0,67241171.0
12,The Possession,92.0,81,"Aug 31, 2012",The Possession,14000000.0,"$49,130,588",82925064.0,68925064.0
13,Real Steel,127.0,31,"Oct 7, 2011",Real Steel,110000000.0,"$85,463,309",263880341.0,153880341.0
14,The Giver,97.0,2,"Aug 15, 2014",The Giver,25000000.0,"$45,090,374",66540205.0,41540205.0
15,Toy Story 3,103.0,47,"Jun 18, 2010",Toy Story 3,200000000.0,"$415,004,880",1068879522.0,868879522.0
16,Alita: Battle Angel,122.0,24,"Feb 14, 2019",Alita: Battle Angel,170000000.0,"$85,710,210",402976036.0,232976036.0
17,Lincoln,150.0,73,"Nov 9, 2012",Lincoln,65000000.0,"$182,207,973",273346281.0,208346281.0
18,Before We Go,95.0,52,"Sep 4, 2015",Before We Go,3000000.0,"$37,151",483938.0,-2516062.0
19,The History of Love,134.0,12,"Nov 18, 2016",The History of Love,20000000.0,$0,476624.0,-19523376.0
20,Shazam!,132.0,97,"Apr 5, 2019",Shazam!,85000000.0,"$139,606,856",362899733.0,277899733.0
21,Wonder Woman,141.0,55,"Jun 2, 2017",Wonder Woman,150000000.0,"$412,563,408",821133378.0,671133378.0
22,42,128.0,22,"Apr 12, 2013",42,31000000.0,"$95,020,213",97470701.0,66470701.0
23,Life of Pi,127.0,88,"Nov 21, 2012",Life of Pi,120000000.0,"$124,987,022",620912003.0,500912003.0
24,The Crazies,101.0,36,"Feb 26, 2010",The Crazies,19000000.0,"$39,123,589",56445534.0,37445534.0
25,The Equalizer,132.0,96,"Sep 26, 2014",The Equalizer,55000000.0,"$101,530,738",192903624.0,137903624.0
26,Captain America: The First Avenger,124.0,10,"Jul 22, 2011",Captain America: The First Avenger,140000000.0,"$176,654,505",370569776.0,230569776.0
27,Sin City: A Dame to Kill For,102.0,16,"Aug 22, 2014",Sin City: A Dame to Kill For,65000000.0,"$13,757,804",40650842.0,-24349158.0
28,House at the End of the Drive,91.0,28,"Dec 31, 2014",House at the End of the Drive,1400000.0,$0,0.0,-1400000.0
29,Margaret,150.0,27,"Sep 30, 2011",Margaret,14000000.0,"$47,185",623292.0,-13376708.0
30,Ex Machina,108.0,72,"Apr 10, 2015",Ex Machina,13000000.0,"$25,440,971",38358392.0,25358392.0
31,Tower Heist,104.0,5,"Nov 4, 2011",Tower Heist,85000000.0,"$78,046,570",150422946.0,65422946.0
32,The Smurfs,103.0,20,"Jul 29, 2011",The Smurfs,110000000.0,"$142,614,158",563749323.0,453749323.0
33,The Mechanic,93.0,42,"Jan 28, 2011",The Mechanic,42500000.0,"$29,121,498",76347393.0,33847393.0
34,"Hail, Caesar!",106.0,22,"Feb 5, 2016","Hail, Caesar!",22000000.0,"$30,080,225",64160680.0,42160680.0
35,The Tree of Life,139.0,24,"May 27, 2011",The Tree of Life,35000000.0,"$13,305,665",61721826.0,26721826.0
36,Ant-Man,117.0,43,"Jul 17, 2015",Ant-Man,130000000.0,"$180,202,163",518858449.0,388858449.0
37,Season of the Witch,95.0,89,"Jan 7, 2011",Season of the Witch,40000000.0,"$24,827,228",91126600.0,51126600.0
38,Hall Pass,105.0,57,"Feb 25, 2011",Hall Pass,68000000.0,"$45,060,734",87173475.0,19173475.0
39,The Croods,98.0,26,"Mar 22, 2013",The Croods,135000000.0,"$187,168,425",573068425.0,438068425.0
40,Barry Munday,95.0,61,"Oct 1, 2010",Barry Munday,3000000.0,$0,0.0,-3000000.0
41,Red Tails,125.0,61,"Jan 20, 2012",Red Tails,58000000.0,"$49,876,377",50365498.0,-7634502.0
42,Something Borrowed,112.0,72,"May 6, 2011",Something Borrowed,35000000.0,"$39,046,489",65084116.0,30084116.0
43,Tulip Fever,105.0,8,"Sep 1, 2017",Tulip Fever,25000000.0,"$2,455,635",6792768.0,-18207232.0
44,Furry Vengeance,92.0,17,"Apr 30, 2010",Furry Vengeance,35000000.0,"$17,630,465",39340177.0,4340177.0
45,Ramona and Beezus,103.0,60,"Jul 23, 2010",Ramona and Beezus,15000000.0,"$26,167,002",27469621.0,12469621.0
46,Rings,102.0,38,"Feb 3, 2017",Rings,25000000.0,"$27,793,018",82917283.0,57917283.0
47,A Thousand Words,91.0,1,"Mar 9, 2012",A Thousand Words,40000000.0,"$18,450,127",20790486.0,-19209514.0
48,What's Your Number?,106.0,24,"Sep 30, 2011",What's Your Number?,20000000.0,"$14,011,084",30163785.0,10163785.0
49,Samsara,102.0,18,"Aug 24, 2012",Samsara,4000000.0,"$2,672,413",5966671.0,1966671.0
50,Man of Steel,143.0,29,"Jun 14, 2013",Man of Steel,225000000.0,"$291,045,518",667999518.0,442999518.0
51,The Wolfman,103.0,91,"Feb 12, 2010",The Wolfman,150000000.0,"$62,189,884",142634358.0,-7365642.0
52,The Boxtrolls,96.0,94,"Sep 26, 2014",The Boxtrolls,60000000.0,"$50,837,305",111946251.0,51946251.0
53,The Man Who Knew Infinity,108.0,67,"Apr 29, 2016",The Man Who Knew Infinity,10000000.0,"$3,877,922",12382122.0,2382122.0
54,The Incredible Burt Wonderstone,100.0,7,"Mar 15, 2013",The Incredible Burt Wonderstone,32000000.0,"$22,537,881",27392609.0,-4607391.0
55,Dallas Buyers Club,117.0,73,"Nov 1, 2013",Dallas Buyers Club,5000000.0,"$27,298,285",60611845.0,55611845.0
56,Jack Reacher,130.0,68,"Dec 21, 2012",Jack Reacher,60000000.0,"$80,070,736",217370736.0,157370736.0
