rating,runtime
R,104 minutes
R,108 minutes
R,116 minutes
R,128 minutes
PG,95 minutes
PG-13,82 minutes
R,123 minutes
R,117 minutes
PG-13,108 minutes
PG-13,97 minutes
R,106 minutes
R,108 minutes
R,129 minutes
PG,98 minutes
PG-13,127 minutes
R,96 minutes
G,90 minutes
PG,101 minutes
R,114 minutes
PG-13,123 minutes
R,110 minutes
R,96 minutes
R,97 minutes
R,95 minutes
R,106 minutes
G,65 minutes
R,82 minutes
PG,92 minutes
R,91 minutes
R,100 minutes
R,99 minutes
PG,103 minutes
PG,112 minutes
R,119 minutes
R,122 minutes
PG,86 minutes
R,95 minutes
R,93 minutes
R,111 minutes
PG-13,86 minutes
PG,108 minutes
R,118 minutes
R,89 minutes
R,74 minutes
PG,115 minutes
PG,107 minutes
R,165 minutes
R,104 minutes
R,107 minutes
PG-13,99 minutes
R,98 minutes
R,113 minutes
G,89 minutes
PG,117 minutes
R,92 minutes
R,110 minutes
R,90 minutes
R,116 minutes
R,118 minutes
PG-13,102 minutes
R,90 minutes
PG-13,101 minutes
R,95 minutes
R,93 minutes
PG,135 minutes
R,101 minutes
G,92 minutes
R,97 minutes
PG,102 minutes
R,107 minutes
PG,109 minutes
PG-13,93 minutes
PG-13,101 minutes
R,113 minutes
R,114 minutes
R,98 minutes
R,106 minutes
R,109 minutes
PG-13,124 minutes
PG,93 minutes
R,95 minutes
PG-13,100 minutes
PG,96 minutes
R,104 minutes
R,105 minutes
PG,93 minutes
R,115 minutes
PG-13,134 minutes
PG-13,98 minutes
PG-13,124 minutes
PG,87 minutes
R,96 minutes
R,135 minutes
R,99 minutes
R,119 minutes
PG,100 minutes
PG,91 minutes
G,101 minutes
R,86 minutes
R,95 minutes
R,104 minutes
PG-13,113 minutes
PG-13,98 minutes
R,104 minutes
G,126 minutes
R,110 minutes
PG-13,90 minutes
R,91 minutes
PG-13,132 minutes
R,137 minutes
PG-13,79 minutes
PG-13,115 minutes
PG,156 minutes
PG,147 minutes
G,124 minutes
G,113 minutes
R,89 minutes
PG,111 minutes
PG,117 minutes
PG-13,96 minutes
PG-13,15 minutes
R,171 minutes
R,120 minutes
PG,80 minutes
R,100 minutes
PG-13,93 minutes
R,94 minutes
R,97 minutes
R,118 minutes
R,118 minutes
R,90 minutes
PG,97 minutes
R,93 minutes
R,90 minutes
R,88 minutes
R,99 minutes
R,101 minutes
R,110 minutes
R,91 minutes
R,110 minutes
PG,107 minutes
PG,94 minutes
R,97 minutes
R,99 minutes
R,96 minutes
R,98 minutes
R,116 minutes
PG,94 minutes
R,94 minutes
PG-13,93 minutes
R,132 minutes
R,101 minutes
PG-13,100 minutes
PG,143 minutes
PG-13,95 minutes
PG-13,133 minutes
PG-13,95 minutes
R,129 minutes
R,107 minutes
R,114 minutes
PG,111 minutes
PG-13,120 minutes
R,132 minutes
R,105 minutes
PG,111 minutes
R,88 minutes
R,111 minutes
R,119 minutes
G,111 minutes
PG-13,129 minutes
PG-13,105 minutes
PG-13,93 minutes
G,155 minutes
R,103 minutes
R,124 minutes
R,142 minutes
PG-13,126 minutes
PG-13,111 minutes
PG-13,103 minutes
G,83 minutes
PG,87 minutes
R,87 minutes
R,114 minutes
PG,91 minutes
PG,99 minutes
PG-13,94 minutes
R,105 minutes
PG,98 minutes
PG-13,100 minutes
G,134 minutes
R,97 minutes
PG-13,106 minutes
R,87 minutes
R,86 minutes
PG-13,95 minutes
R,121 minutes
R,108 minutes
PG,95 minutes
G,94 minutes
PG-13,94 minutes
PG,102 minutes
R,125 minutes
PG,146 minutes
PG-13,109 minutes
R,113 minutes
PG,122 minutes
R,103 minutes
PG-13,109 minutes
R,196 minutes
PG,103 minutes
PG,95 minutes
PG,99 minutes
R,98 minutes
R,108 minutes
R,95 minutes
PG-13,87 minutes
PG,98 minutes
R,120 minutes
PG-13,90 minutes
PG-13,105 minutes
R,95 minutes
PG-13,92 minutes
PG,96 minutes
PG-13,105 minutes
PG,88 minutes
PG-13,70 minutes
PG-13,117 minutes
PG,105 minutes
R,100 minutes
R,120 minutes
R,100 minutes
PG-13,123 minutes
PG-13,116 minutes
R,102 minutes
R,95 minutes
PG,98 minutes
R,89 minutes
PG,86 minutes
PG,86 minutes
R,125 minutes
R,85 minutes
PG-13,94 minutes
R,115 minutes
PG,90 minutes
R,100 minutes
PG,128 minutes
R,102 minutes
PG-13,115 minutes
PG-13,88 minutes
PG-13,117 minutes
R,115 minutes
R,110 minutes
R,133 minutes
R,110 minutes
R,105 minutes
PG,88 minutes
PG,153 minutes
PG,90 minutes
R,91 minutes
PG,93 minutes
R,103 minutes
G,87 minutes
PG,98 minutes
PG-13,108 minutes
R,96 minutes
R,95 minutes
PG,86 minutes
R,95 minutes
R,85 minutes
R,107 minutes
PG,87 minutes
R,102 minutes
PG,100 minutes
G,45 minutes
R,85 minutes
G,179 minutes
R,114 minutes
PG,117 minutes
PG-13,130 minutes
R,120 minutes
R,121 minutes
R,87 minutes
R,96 minutes
R,138 minutes
PG-13,126 minutes
R,100 minutes
R,89 minutes
R,91 minutes
PG-13,84 minutes
PG-13,96 minutes
R,111 minutes
PG,87 minutes
PG-13,109 minutes
PG-13,89 minutes
PG,96 minutes
R,90 minutes
G,101 minutes
R,92 minutes
PG-13,91 minutes
PG-13,118 minutes
PG,96 minutes
PG-13,101 minutes
PG-13,125 minutes
R,121 minutes
R,174 minutes
R,129 minutes
R,100 minutes
PG-13,115 minutes
PG,105 minutes
R,123 minutes
G,86 minutes
PG,121 minutes
R,104 minutes
PG,91 minutes
R,112 minutes
R,104 minutes
R,86 minutes
PG-13,95 minutes
PG,95 minutes
R,87 minutes
PG-13,103 minutes
R,137 minutes
R,110 minutes
PG,128 minutes
PG,109 minutes
PG,110 minutes
PG,96 minutes
R,94 minutes
R,175 minutes
R,93 minutes
R,91 minutes
R,100 minutes
PG,124 minutes
R,94 minutes
R,84 minutes
R,107 minutes
R,93 minutes
PG-13,97 minutes
R,101 minutes
PG-13,108 minutes
R,142 minutes
R,118 minutes
PG-13,96 minutes
R,184 minutes
G,75 minutes
R,93 minutes
R,126 minutes
PG,95 minutes
PG,88 minutes
PG-13,104 minutes
PG,95 minutes
PG,127 minutes
PG,104 minutes
PG-13,100 minutes
PG,109 minutes
R,102 minutes
PG,164 minutes
R,122 minutes
PG,109 minutes
R,91 minutes
PG-13,92 minutes
R,114 minutes
R,110 minutes
R,148 minutes
PG,98 minutes
PG,102 minutes
R,95 minutes
R,130 minutes
R,120 minutes
PG,90 minutes
R,82 minutes
R,105 minutes
PG,120 minutes
R,89 minutes
R,120 minutes
R,110 minutes
G,73 minutes
R,90 minutes
R,117 minutes
R,119 minutes
PG,108 minutes
R,106 minutes
PG,116 minutes
R,114 minutes
R,107 minutes
PG-13,92 minutes
R,99 minutes
R,92 minutes
PG-13,100 minutes
PG,94 minutes
R,109 minutes
PG,86 minutes
PG-13,116 minutes
R,127 minutes
R,125 minutes
R,92 minutes
PG,102 minutes
R,118 minutes
G,76 minutes
R,108 minutes
PG-13,84 minutes
R,110 minutes
PG,88 minutes
R,119 minutes
R,91 minutes
PG-13,121 minutes
R,115 minutes
R,103 minutes
PG-13,128 minutes
