,primary_title,runtime_minutes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit
0,Piranha 3D,88.0,52,"Aug 20, 2010",Piranha 3D,24000000.0,"$25,003,155",83660160.0,59660160.0
1,Priest,87.0,29,"May 13, 2011",Priest,60000000.0,"$29,136,626",84154026.0,24154026.0
2,Red State,88.0,22,"Sep 23, 2011",Red State,4000000.0,"$1,065,429",1983596.0,-2016404.0
3,Please Give,87.0,15,"Apr 30, 2010",Please Give,3000000.0,"$4,033,574",4570178.0,1570178.0
4,The Dead Undead,89.0,7,"Dec 31, 2010",The Dead Undead,1100000.0,$0,0.0,-1100000.0
5,Get Real,45.0,38,"Apr 30, 1999",Get Real,2000000.0,"$1,152,411",1152411.0,-847589.0
6,Believe,16.0,13,"Dec 2, 2016",Believe,3500000.0,"$890,303",890303.0,-2609697.0
7,Empire,83.0,96,"Dec 6, 2002",Empire,3500000.0,"$17,504,595",18495444.0,14995444.0
8,The Wild,65.0,92,"Apr 14, 2006",The Wild,80000000.0,"$37,384,046",99010667.0,19010667.0
9,Underdogs,65.0,41,"Aug 16, 2013",Underdogs,2500000.0,"$35,017",1392649.0,-1107351.0
10,Jack,82.0,79,"Aug 9, 1996",Jack,45000000.0,"$58,617,334",58617334.0,13617334.0
11,Smoke Signals,75.0,7,"Jun 26, 1998",Smoke Signals,2000000.0,"$6,719,300",7756617.0,5756617.0
12,Midnight in Paris,75.0,83,"May 20, 2011",Midnight in Paris,30000000.0,"$56,816,662",162502774.0,132502774.0
13,Jonah Hex,81.0,40,"Jun 18, 2010",Jonah Hex,47000000.0,"$10,547,117",11022696.0,-35977304.0
14,The Belko Experiment,89.0,21,"Mar 17, 2017",The Belko Experiment,5000000.0,"$10,166,820",11792942.0,6792942.0
15,Frankenweenie,87.0,48,"Oct 5, 2012",Frankenweenie,39000000.0,"$35,287,788",81150788.0,42150788.0
16,Beastly,86.0,87,"Mar 4, 2011",Beastly,17000000.0,"$27,865,571",38028230.0,21028230.0
17,Gracie,71.0,2,"Jun 1, 2007",Gracie,9000000.0,"$2,956,339",3922043.0,-5077957.0
18,Ouija,89.0,60,"Oct 24, 2014",Ouija,5000000.0,"$50,856,010",103300632.0,98300632.0
19,Daylight,75.0,95,"Dec 6, 1996",Daylight,80000000.0,"$32,908,290",158908290.0,78908290.0
20,Date Night,88.0,99,"Apr 9, 2010",Date Night,55000000.0,"$98,711,404",152269033.0,97269033.0
21,The Strangers: Prey at Night,85.0,79,"Mar 9, 2018",The Strangers: Prey at Night,5000000.0,"$24,431,472",29960051.0,24960051.0
22,Cats & Dogs: The Revenge of Kitty Galore,82.0,17,"Jul 30, 2010",Cats & Dogs: The Revenge of Kitty Galore,85000000.0,"$43,585,753",113026383.0,28026383.0
23,The FP,82.0,12,"Mar 16, 2012",The FP,60000.0,$0,0.0,-60000.0
24,Yogi Bear,80.0,62,"Dec 17, 2010",Yogi Bear,80000000.0,"$100,246,011",204774690.0,124774690.0
25,Mars Needs Moms,88.0,94,"Mar 11, 2011",Mars Needs Moms,150000000.0,"$21,392,758",39549758.0,-110450242.0
26,3 Backyards,88.0,51,"Mar 11, 2011",3 Backyards,300000.0,"$39,475",39475.0,-260525.0
27,The Last Exorcism,87.0,15,"Aug 27, 2010",The Last Exorcism,1800000.0,"$41,034,350",70165900.0,68365900.0
28,Gulliver's Travels,85.0,13,"Dec 25, 2010",Gulliver's Travels,112000000.0,"$42,779,261",232017848.0,120017848.0
29,Cyrus,87.0,27,"Jun 18, 2010",Cyrus,7000000.0,"$7,468,936",10062896.0,3062896.0
30,The Apostle,80.0,86,"Dec 17, 1997",The Apostle,5000000.0,"$20,733,485",21277770.0,16277770.0
31,Bad Company,87.0,34,"Jun 7, 2002",Bad Company,70000000.0,"$30,157,016",69157016.0,-842984.0
32,The Sitter,81.0,32,"Dec 9, 2011",The Sitter,25000000.0,"$30,542,576",38749404.0,13749404.0
33,The Awakening,83.0,4,"Aug 17, 2012",The Awakening,4900000.0,"$95,933",6924321.0,2024321.0
34,Gunless,89.0,49,"Apr 30, 2010",Gunless,9900000.0,"$458,054",458054.0,-9441946.0
35,Marmaduke,87.0,59,"Jun 4, 2010",Marmaduke,50000000.0,"$33,644,788",89895930.0,39895930.0
36,Table 19,87.0,45,"Mar 3, 2017",Table 19,5000000.0,"$3,614,896",4620399.0,-379601.0
37,Hansel & Gretel: Witch Hunters,88.0,27,"Jan 25, 2013",Hansel & Gretel: Witch Hunters,50000000.0,"$55,703,475",214949716.0,164949716.0
38,The Pirates! Band of Misfits,88.0,34,"Apr 27, 2012",The Pirates! Band of Misfits,55000000.0,"$31,051,126",136143605.0,81143605.0
39,Sleeper,86.0,92,"Dec 17, 1973",Sleeper,2000000.0,"$18,344,729",18344729.0,16344729.0
